Hugo_Symbol,tumor_mean,normal_mean,log2_fold_change,abs_log2_fold_change
PRR7,5.646079407599168,4.037989177971662,1.6080902296275061,1.6080902296275061
TRPC6,5.064366679961741,6.671804765228599,-1.6074380852668586,1.6074380852668586
HECW1,4.4235819075280345,6.030312842346112,-1.6067309348180778,1.6067309348180778
KRT17,10.34440193855846,11.95102024927936,-1.606618310720899,1.606618310720899
RGS7BP,5.39214715069379,6.997200136802614,-1.6050529861088236,1.6050529861088236
RNF157,8.486504767054027,6.881765193414814,1.6047395736392138,1.6047395736392138
SLC2A4,6.982533559423943,8.58676045535979,-1.6042268959358479,1.6042268959358479
ZNF804A,3.970231045121799,5.57385464613037,-1.6036236010085716,1.6036236010085716
GATM,7.142045190629131,8.741960065449021,-1.5999148748198904,1.5999148748198904
SLC8A1,8.689644721426463,10.28846427881394,-1.5988195573874773,1.5988195573874773
ZNF516,7.463941288055142,9.062374359072844,-1.5984330710177028,1.5984330710177028
AFAP1L2,8.218957121033528,9.817183002484889,-1.598225881451361,1.598225881451361
PGR,7.174444644605416,8.772512720110525,-1.5980680755051084,1.5980680755051084
CDH23,4.770233592736193,6.367839751494956,-1.5976061587587633,1.5976061587587633
C12orf34,7.721369471208207,6.126449192125899,1.5949202790823076,1.5949202790823076
ASXL3,3.9916337727554123,5.5836201613059115,-1.5919863885504992,1.5919863885504992
TBX1,7.840448854830069,6.248840635462609,1.59160821936746,1.59160821936746
ASPM,5.430208220470439,3.8407187346197733,1.5894894858506654,1.5894894858506654
BDNF,4.712915367891649,6.301961811620332,-1.5890464437286829,1.5890464437286829
CTHRC1,6.308547463732478,4.719723359764665,1.5888241039678128,1.5888241039678128
LIPG,5.2696629038045115,6.857424593678723,-1.5877616898742115,1.5877616898742115
ITGB1BP2,4.490350874131875,6.07498153379102,-1.5846306596591448,1.5846306596591448
DMD,8.800485185348206,10.383049056179164,-1.582563870830958,1.582563870830958
SLC43A1,10.560741656602717,8.979827191243576,1.5809144653591414,1.5809144653591414
KCNK3,8.284797517605954,9.864158412673115,-1.5793608950671612,1.5793608950671612
PLA2G7,9.809389593580828,8.231463407026856,1.577926186553972,1.577926186553972
BICD1,8.291630203601027,6.713856660632308,1.5777735429687194,1.5777735429687194
BRSK2,5.015560682456334,3.4384791729804913,1.5770815094758426,1.5770815094758426
UNC5B,8.74402062194207,10.319783702414444,-1.575763080472374,1.575763080472374
SDK1,9.999680738854686,8.425995418374926,1.5736853204797594,1.5736853204797594
SPATA18,6.715347925006373,8.28871567299091,-1.5733677479845376,1.5733677479845376
RAB3B,8.704503746260793,7.131735861686968,1.5727678845738247,1.5727678845738247
CKMT2,5.418705908380732,6.9914169809862265,-1.572711072605495,1.572711072605495
SBK1,8.966986387390858,7.395799659328446,1.5711867280624112,1.5711867280624112
TMEM37,5.220388799355048,6.790565826784832,-1.570177027429784,1.570177027429784
ZNF536,3.7600742395029765,5.329090929051512,-1.5690166895485356,1.5690166895485356
C17orf93,8.09112541280335,6.523986085410503,1.5671393273928471,1.5671393273928471
CDH22,4.416108965999107,5.982092996289826,-1.5659840302907195,1.5659840302907195
C2orf40,7.2570505255177595,8.82251835979083,-1.565467834273071,1.565467834273071
CSRP1,13.622906248209187,15.188133470164333,-1.565227221955146,1.565227221955146
VSTM2L,10.707019683507927,9.145211159317846,1.5618085241900808,1.5618085241900808
CCNB2,6.779659724393228,5.219259317469133,1.5604004069240949,1.5604004069240949
FXYD6,9.056830668555927,10.61697228272004,-1.5601416141641131,1.5601416141641131
ERG,9.622017715086093,8.062193321519555,1.5598243935665383,1.5598243935665383
DDR2,6.743716510394259,8.302628132881637,-1.5589116224873774,1.5589116224873774
PPM1E,8.15658636347067,6.597859541434255,1.558726822036414,1.558726822036414
WNT3A,4.1496249672946774,5.706598524747713,-1.556973557453036,1.556973557453036
RGS22,3.8466733587740047,5.403216531414332,-1.556543172640327,1.556543172640327
NCAPH,5.324985785760412,3.768984761248407,1.556001024512005,1.556001024512005
KANK4,4.942169515382157,6.497162322812658,-1.5549928074305006,1.5549928074305006
TPM2,12.941320524635858,14.496166126611607,-1.5548456019757495,1.5548456019757495
MEX3A,8.017586568169824,6.462842683038793,1.554743885131031,1.554743885131031
CNTN1,7.4406084886584685,8.995235410206753,-1.5546269215482846,1.5546269215482846
CPAMD8,9.50762138856706,11.060859877371701,-1.5532384888046415,1.5532384888046415
ADCY5,7.663932099006131,9.215796140503942,-1.5518640414978107,1.5518640414978107
CAV2,8.481977209321274,10.033708631369546,-1.551731422048272,1.551731422048272
KIT,6.945111066730178,8.495231053500957,-1.5501199867707793,1.5501199867707793
ATP2B4,10.56570511429461,12.115130037854355,-1.5494249235597444,1.5494249235597444
EFS,8.627836498715789,10.176827254231398,-1.548990755515609,1.548990755515609
BMP7,7.388739130649969,8.936816269465057,-1.5480771388150876,1.5480771388150876
CHST2,7.641129325909671,9.188957232830038,-1.547827906920367,1.547827906920367
POPDC2,7.3061643578206565,8.853406243280373,-1.5472418854597167,1.5472418854597167
CEP55,5.266995876882401,3.721209148660762,1.545786728221639,1.545786728221639
F12,5.521907482053996,3.9774601403937333,1.544447341660263,1.544447341660263
BHMT2,6.124178399752665,7.667582510959919,-1.5434041112072538,1.5434041112072538
NCRNA00105,6.2927752382896305,4.749615588124789,1.5431596501648412,1.5431596501648412
NAV2,7.803172911365952,9.345977399365676,-1.5428044879997245,1.5428044879997245
TNS1,12.58058021812384,14.123088929161536,-1.542508711037696,1.542508711037696
CXCL11,6.808407971659142,5.266772528990527,1.541635442668615,1.541635442668615
MYOM1,6.2663052752237345,7.807890962055928,-1.5415856868321933,1.5415856868321933
C1orf64,5.970968869345846,4.429643183001404,1.5413256863444422,1.5413256863444422
ITGB3,6.41074871518568,7.951976361867574,-1.541227646681894,1.541227646681894
COL9A1,4.599828412968178,6.140575446719889,-1.5407470337517104,1.5407470337517104
LRFN1,7.453647133333164,5.914385503999164,1.5392616293339998,1.5392616293339998
S100A2,5.906110687645053,7.4447227722468385,-1.5386120846017857,1.5386120846017857
MSRB3,9.930061441319994,11.467996816573296,-1.5379353752533014,1.5379353752533014
C7orf58,8.609408116724547,10.145473899165724,-1.5360657824411774,1.5360657824411774
SGEF,10.807152601704422,9.271114294817945,1.5360383068864767,1.5360383068864767
C16orf89,5.208333917513387,6.743766630455363,-1.5354327129419767,1.5354327129419767
ST6GALNAC4,6.803854377136526,8.337702547562763,-1.5338481704262374,1.5338481704262374
CA12,7.281539791125931,8.815243373449432,-1.5337035823235006,1.5337035823235006
GPX3,10.117275272922429,11.650948107600177,-1.5336728346777484,1.5336728346777484
PCDHGB1,6.480855028932909,4.948081101202202,1.532773927730707,1.532773927730707
NEFH,11.628661100005383,13.160566915370945,-1.5319058153655618,1.5319058153655618
TMEM200B,7.311213882160173,8.842411862106164,-1.5311979799459916,1.5311979799459916
FAM111B,6.438321280674518,4.9075995270565915,1.530721753617926,1.530721753617926
C12orf75,8.533979219223307,10.064144522645181,-1.5301653034218745,1.5301653034218745
RGN,6.330871493771222,7.858028514054943,-1.5271570202837204,1.5271570202837204
OR51E1,9.84271041415901,8.316966906237333,1.5257435079216766,1.5257435079216766
FUT2,4.948589253638697,6.472615046436787,-1.5240257927980903,1.5240257927980903
CCDC60,4.417691469137634,5.941250034429495,-1.5235585652918608,1.5235585652918608
PKIB,8.23719014947059,6.7148285472601525,1.522361602210438,1.522361602210438
MCC,8.65875915393848,10.18050865480378,-1.521749500865301,1.521749500865301
FLNA,14.617513392161536,16.138210862486034,-1.5206974703244978,1.5206974703244978
C19orf48,12.563050532385509,11.042896837195626,1.520153695189883,1.520153695189883
CLIC6,7.217731866027415,8.737353162747542,-1.5196212967201275,1.5196212967201275
TOX3,7.546623713913291,6.028979495323313,1.517644218589978,1.517644218589978
PTCHD2,5.333730379677753,3.816679512265736,1.5170508674120171,1.5170508674120171
MEIS2,8.787051860304105,10.302916309046653,-1.5158644487425477,1.5158644487425477
AGR3,5.61438779701817,4.098808256099722,1.5155795409184485,1.5155795409184485
RAB38,4.487920173151992,6.0034167638155695,-1.5154965906635773,1.5154965906635773
P2RX2,4.4242612620267305,5.939752776758085,-1.5154915147313543,1.5154915147313543
HIST1H2BG,6.958156849165284,5.4428647016926925,1.5152921474725911,1.5152921474725911
ZBTB7C,6.687568812885583,8.200407771959924,-1.5128389590743412,1.5128389590743412
C11orf70,4.342988932507367,5.854957287799338,-1.5119683552919705,1.5119683552919705
TIMP4,4.793613357745508,6.305376378941735,-1.5117630211962272,1.5117630211962272
CTTNBP2,5.9590787442282735,7.47055882505928,-1.5114800808310065,1.5114800808310065
ANK2,7.0969309723652,8.607738734710455,-1.5108077623452552,1.5108077623452552
GJA1,10.350874867038984,11.860332606091143,-1.5094577390521593,1.5094577390521593
ASPHD1,6.588875411382888,5.081166523231342,1.5077088881515452,1.5077088881515452
SOHLH2,3.9043536729704345,5.4117788320063545,-1.50742515903592,1.50742515903592
ITGB8,8.58441236521867,10.091749488803137,-1.5073371235844668,1.5073371235844668
PYCR1,12.093327703778085,10.58657254217563,1.506755161602456,1.506755161602456
EFEMP1,9.592126913399605,11.098100712154901,-1.5059737987552957,1.5059737987552957
MME,10.942825802209411,12.447604043031934,-1.5047782408225228,1.5047782408225228
MYOF,10.395737375701566,11.900429535228811,-1.504692159527245,1.504692159527245
C3orf54,4.756115529168415,6.260470074576665,-1.5043545454082494,1.5043545454082494
HBA1,3.547619427000975,5.051797573721453,-1.504178146720478,1.504178146720478
TMEM139,3.971214826836787,5.474317979054026,-1.5031031522172396,1.5031031522172396
SCGB2A1,4.604071542220231,6.10584377960688,-1.501772237386649,1.501772237386649
NRXN3,6.933918135857147,8.434636332031774,-1.5007181961746268,1.5007181961746268
GRIA3,3.561860748770944,5.062164911960126,-1.500304163189182,1.500304163189182
CHD5,4.61226392208464,6.1110509886130915,-1.4987870665284513,1.4987870665284513
MAP1A,8.139689665309715,9.63796363519277,-1.498273969883055,1.498273969883055
LRCH2,7.112966243588002,8.611182455846377,-1.4982162122583746,1.4982162122583746
ANXA8L2,5.150280188658579,6.6470530380524995,-1.4967728493939205,1.4967728493939205
RNF128,5.6734926986207075,7.167682191551498,-1.4941894929307908,1.4941894929307908
ARHGAP23,8.664114110133603,10.158093471022575,-1.4939793608889715,1.4939793608889715
CA4,3.984098807024715,5.477496716519216,-1.493397909494501,1.493397909494501
HAAO,6.47609934750059,7.968913053302867,-1.492813705802277,1.492813705802277
CAMKK2,12.68918215608019,11.19712090744778,1.4920612486324085,1.4920612486324085
SLC19A1,9.680083856767231,8.189342669687667,1.4907411870795642,1.4907411870795642
CXCL6,4.914191460580229,6.404323748196948,-1.490132287616719,1.490132287616719
PNCK,6.88403718869175,8.372032616914785,-1.4879954282230345,1.4879954282230345
PPP2R2B,3.8573237269916523,5.345092076278894,-1.4877683492872413,1.4877683492872413
MECOM,7.622734411690915,9.109643306405692,-1.4869088947147775,1.4869088947147775
FAM189A1,6.223620283792009,4.740194484432218,1.4834257993597912,1.4834257993597912
ENPP6,4.9733015317267295,6.455923246581478,-1.4826217148547487,1.4826217148547487
L1CAM,5.3717536130884,6.852321209159248,-1.4805675960708484,1.4805675960708484
SLC38A4,4.10430561567879,5.584795136395887,-1.4804895207170974,1.4804895207170974
MARCKSL1,13.100566158314047,11.6236088892503,1.4769572690637478,1.4769572690637478
ENTPD3,6.013136562246407,7.48894365174841,-1.4758070895020028,1.4758070895020028
WNT10A,4.613992000502136,6.089259641633349,-1.4752676411312136,1.4752676411312136
CES1,8.84056856873336,10.315262069584268,-1.4746935008509077,1.4746935008509077
TAGLN,14.414873966483302,15.88941529663925,-1.4745413301559473,1.4745413301559473
RNF112,5.158377868141978,6.632918775397686,-1.474540907255708,1.474540907255708
FCGBP,8.438472297561754,9.912999345242055,-1.4745270476803007,1.4745270476803007
EDIL3,5.800399823036094,7.274346751664382,-1.4739469286282878,1.4739469286282878
KLK3,18.363803724200288,16.89057010459811,1.4732336196021798,1.4732336196021798
RAB17,9.369868875234149,7.899626571845806,1.4702423033883427,1.4702423033883427
CACHD1,7.543459404708447,9.01178160296469,-1.468322198256244,1.468322198256244
CPLX3,7.930069175590702,6.46331419999728,1.466754975593422,1.466754975593422
PTP4A3,10.656502727899241,9.189942213282409,1.4665605146168321,1.4665605146168321
TUBB3,8.258825369995092,6.792732841315361,1.4660925286797308,1.4660925286797308
SEMA3D,7.090535481583213,8.556008414243836,-1.4654729326606226,1.4654729326606226
BCL11A,6.181365883702825,7.6462185859509715,-1.4648527022481463,1.4648527022481463
ATAD3C,5.631802154791499,7.094969042442315,-1.4631668876508162,1.4631668876508162
GAS1,7.630742369735085,9.092686364921386,-1.4619439951863011,1.4619439951863011
SCUBE3,5.096842018134876,6.558212818165472,-1.461370800030596,1.461370800030596
PLA2G4A,7.203964332071698,8.66520767639188,-1.4612433443201818,1.4612433443201818
CAPG,9.310502312387783,10.77139142175971,-1.4608891093719265,1.4608891093719265
PDE7B,6.476012064103852,7.9364567371759325,-1.4604446730720806,1.4604446730720806
CSTA,6.115153416212018,7.57519012308433,-1.4600367068723124,1.4600367068723124
GLIS3,6.766848434675663,8.225810282184337,-1.4589618475086743,1.4589618475086743
FRMD3,3.9805021227714374,5.438368144892272,-1.4578660221208346,1.4578660221208346
ACTA2,14.00559703884436,15.46282804438636,-1.457231005541999,1.457231005541999
ACOT11,5.507901346505184,6.964481984082972,-1.4565806375777877,1.4565806375777877
